ObjectID,Title,Description,Pressure,Multiple Pressures,Current Status,Priority,Objective,Proposed Management Action,Strategy,"Scale:  5=District, 4=catchment, 3=river, 2=coastal, 1=local",Resources,Data Requirements,Lead Organisation,Potential Partners,Capital Cost,In-Kind Contributions,Maintainance Required,Annual Cost,Funding Available,Completion Date,Challenges and Constraints,Easting,Northing,Image URL,Review Status,Review Progress,Review Cost,Review Description,Review Challenges,Last Reviewed,District,District ID,Action ID,GlobalID,Primary Funding Organisation,Costing Certainty,Funding Shortfall,x,y
11,Fish habitat relative to hydro dams,"At various locations downstream of hydro dams throughout the catchment there appears to be a lack of  spawning substrate and stable/ compacted conditions (e.g. R. Affric, R. Cannich, R. Farrar, Lower Beauly). Currently there are no sediment management plans in place at the dams. The function of other structures on the river in terms of sediment movement would also need to be considered (e.g. Cruives structure, Lower Beauly).",Instream and Riparian Habitat,,Initiated,High,Complete the reporting of the 2022 Cannich and Affric walkover. Carry out walkovers of the R. Farrar and Lower Beauly (2023-2024) and produce report. Review old (pre-dam) photos and aerial photos of substrate. Gather electro-fishing data and run this through NEPs tool to do a statistically sound hydro Vs non-hydro comparison. Discuss findings with SEPA hydro-morphology team. If a problem with sediment management at the dams is likely discuss options with SSE and SEPA.,L,"Conduct habitat walk-overs, assess pre-hydro photos, discuss findings with SEPA and SSE",4,SEPA sediment mangement plan guidance,British Geological Society -Superficial/ Drift Geology GIS layer,Beauly Fishery Board,SEPA and SSE,0,6000,No,,Unfunded,Within 4 Years,"Staffing, hydromorphology expertise",232877,839494,https://drive.google.com/file/d/1D2TlMsgFizsh1ULSEbiYgWktIWX30kGH/view?usp=share_link,,,,,,,Beauly,FD04,MA0011,114f2ad3-e86c-47b6-b03a-5cfe8cac3072,,,,-4.784202846,57.41507377
12,Develop restoration or sediment management plans if necessary,If spawning and fry habitat is found to be poor downstream of the dams due to a lack of sediment management then it will be necessary to work with SSE and SEPA to develop sediment management plans and/ or river restoration projects to ensure good habitat exists downstream of dams in the long term.,Instream and Riparian Habitat,,Planned,High,"If necessary, commission a hydro-morphology survey (scope to be decided based on cost and with liaison with SSE and SEPA) using a third party. - Discuss findings and potential mitigation/ sediment management/ flows/ restoration projects with SSE and SEPA for improved salmonid spawning habitat. -Develop coarse sediment projects with SSE if required.",F,If problem is found cosult with SEPA and SSE,4,SEPA sediment mangement plan guidance,Hydromorphology reports,Beauly Fishery Board,SEPA and SSE,0,700,No,,Unfunded,Within 4 Years,Staffing to get the initial walkovers done,232851,839445,https://drive.google.com/file/d/1EpHxBSUlMYvoJfdltZlkSo-gyHlbmQ2g/view?usp=share_link,,,,,,,Beauly,FD04,MA0012,37f41fa6-3ee7-4657-a5c3-663c96fcc177,,,,-4.784601769,57.41462457
13,Reduce predation pressure from birds,"The presence of goosanders, mergansers and cormorants is natural, although their predation impact may be exacerbated by climate change, at the dams, or where fish habitat is poor. ",Predation,,Ongoing,Medium,Continue bird monitoring to support the bird licence application if this is an efficient use of time. Support proprietors to implement scaring. Continue to work with SSE on improved mitigation at dams to reduce the impact of man-made barriers on predation of smolts. ,J,Ongoing monitoring,4,,,Beauly fishery board ,"Ghillies, Volunteers",0,700,No,700,Unfunded,Annual,National policy,255177,848057,https://drive.google.com/file/d/1Cdbei3w-_O6jyJT4w_cpQ4161bAor3co/view?usp=share_link,,,,,,,Beauly,FD04,MA0013,95dd3789-385c-4827-80f4-8cb833611dd2,,,,-4.418387296,57.49957794
14,Assess predation pressure from seals,There is a lack of reporting to ascertain if seal predation is a problem on the Beauly.,Predation,,Ongoing,Medium,Establish whether specialist seals are having a significant impact on salmon and sea trout through recording of specialist seal ingress and behaviour. Encourage ghillies and anglers to record sightings using SFCC app. Explore the use of non-lethal deterrent methods. Ensure relevant personnel are trained. Continue to liaise with FMS to review effects of seal legislation and control. Submit seal licence application if a significant problem is detected.,J,Improve monitoring and scaring by anglers and Ghillies,3,,,Beauly Fishery Board,Anglers and Ghillies,200,300,No,100,Unfunded,Annual,National policy,251842,844529,https://drive.google.com/file/d/1L6suFiZ5RVQNNLT2seCaPmYPXHswXU8f/view?usp=share_link,,,,,,,Beauly,FD04,MA0014,9ea21454-df8e-4866-98ac-df8c080cc578,,,,-4.471841315,57.4668381
15,Assess predation pressure from fish,Currently little is known about the predation pressure from fish. Man-made alterations to the river may exacerbate this pressure. i.e. above hydro-dams.,Predation,,Ongoing,Low,Collect information on Pike fisheries and large trout in the catchment e.g Braulen estate.,L,Gather information on an ad-hoc basis,4,,,Beauly Fishery Board,"Proprietors, ghillies",0,150,No,150,Unfunded,Annual,,248216,844396,https://drive.google.com/file/d/1k42EQt4kGRoPGCpck4fyC5KzMXaCciM3/view?usp=share_link,,,,,,,Beauly,FD04,MA0015,5f04d564-32af-4810-8202-c1ca9715f5b1,,,,-4.532147807,57.4644458
16,Promote responsible angling,Angling supports the conservation of salmon and sea trout but must be responsibly done to avoid negative impacts on fish,Other,,Ongoing,Medium,Ensure the Conservation Policy is updated each year to encourage responsible angling,A,"Keep conservation policy up-to-date, work with Anglers",5,LOWER BEAULY FISHING SYNDICATE (dsfb.org.uk),,Beauly Fishery Board ,"Anglers, ghillies, proprietors",0,100,No,100,Unfunded,Annual,Angler culture,249826,843955,https://drive.google.com/file/d/1tockM124unwUX0k9vhBKIRnwFzKqPU_2/view?usp=share_link,,,,,,,Beauly,FD04,MA0016,79ceb705-f69b-4569-9de2-696177add46e,,,,-4.505064705,57.46102401
17,Fence off river banks to reduce diffuse pollution,There are a few areas where eroded banks are releasing silt to burns and the river and diminishing habitat.,Instream and Riparian Habitat,Water quality,Initiated,Medium,"Work with farmers to encourage fencing off river banks or alternative sheep and cattle management in key areas, including participation in Agri-environment schemes e.g. R. Glass above Cannich, Kilmorack, Belladrum sub catchment, Bridgend burn, Tomich burn, Redcastle burn.",H,Work with Landowners to encourage participation in Agri-environment schemes,4,Publications | Beauly District Fishery Board (dsfb.org.uk),Electro-fishing surveys/ reports,Beauly fishery Board,"Landowners, NatureScot",0,700,No,100,Unfunded,Annual,Staff time,253401,847842,https://drive.google.com/file/d/1i_k79e5J5wA4vJDPHDGBagnRKNPSgfvU/view?usp=share_link,,,,,,,Beauly,FD04,MA0017,45af12d0-d689-41f2-837e-415c63dd5833,,,,-4.447864659,57.49707721
18,Report pollution incidents to SEPA,Report pollution incidents to SEPA,Water Quality,,Ongoing,High,Continue reporting incidents to SEPA and providing advice to those responsible for polluting.,D,Communicate with SEPA,4,Contact | Scottish Environment Protection Agency (SEPA),,Beauly Fishery Board,SEPA,0,0,No,0,Unfunded,Annual,,255181,848076,https://drive.google.com/file/d/16V31WuupoPWRpsbd_0cm7TgkTsFufRsk/view?usp=share_link,,,,,,,Beauly,FD04,MA0018,0be83dd3-700c-41f0-88d6-79b7e589251e,,,,-4.418331895,57.49974974
19,Respond to planning consultations to protect the river from inappropriate development,"Poor development can pollute watercourses and affect the behaviour of fish. Development in the Beauly catchment may include: Forestry, hydro-schemes, on-shore and offshore wind farms etc",Multiple,,Ongoing,High,"Respond to new Planning consultations, using best practice guidance, GIS information and local knowledge and data",D,Respond when consulted,5,View planning applications | Planning permission | The Highland Council,,Beauly Fishery Board,Highland Council,0,0,No,700,Unfunded,Annual,Ensuring we are consulted,255252,847936,https://drive.google.com/file/d/1rxE5aR2MHFZg8EEZNBZuaKF2FP6nfTSR/view?usp=share_link,,,,,,,Beauly,FD04,MA0019,70bb40f4-87b0-4f4f-8496-c6063e112e6b,,,,-4.417065183,57.49851597
20,Eradicate Japanese knotweed from the catchment,"Japanese Knotweed occurs throughout our catchment, we need to monitor and control it so that it doesn't spread, reduce riparian biodiversity and affect fish habitat.",Invasive Non-native Species,,Ongoing,Medium,Treat Japanese knotweed and Skunk cabbage in a top-down direction in the catchment.,O,Work with Scottish Invasive Species Initiative and Volunteers,5,FINAL-Beauly-Fishery-Board-Biosecurity-Plan-2021-30.pdf (dsfb.org.uk),NBN atlas,Beauly Fishery Board,Scottish Invasive Species Initiative,9000,0,Yes,750,Funding Secured,Within 3 Years,Securing a contractor,252902,846564,https://drive.google.com/file/d/1OIIdB-8n-2f49Ut2aJThlBSTO5E8Hdcp/view?usp=share_link,,,,,,,Beauly,FD04,MA0020,d91dc6ea-3b34-4821-b871-9cd40f92e46f,,,,-4.455412171,57.48544614
21,Eradicate Himalayan balsam from the catchment,"Himalayan Balsam occurs throughout our catchment. We need to monitor and control it so that it doesn't spread, reduce riparian biodiversity and affect fish habitat. Seed is thought to be viable for about 3 years so if we hammer it hard for 3 years we hope to start to see a real difference. The Beauly Balsam Bashers (volunteer group) were set up in 2021 and picking has occurred 2021 and 2022 so far. ",Invasive Non-native Species,,Ongoing,Medium,Support the Beauly Balsam Bashers to eradicate Himalayan balsam. Monitor INNS locations (e.g. kayak survey and fixed point photography).,O,Work with SISI Project Officer and Volunteers,5,Case Study: Setting up a community action group - the Beauly Balsam Bashers | Scottish Invasive Species Initiative,,Beauly Fishery Board,"Scottish Invasive Species Initiative, volunteers",0,0,Yes,750,Funding Secured,Within 5 Years,Staff time to co-ordinate volunteers,252400,845639,https://drive.google.com/file/d/1DrepXEeevdQ9UUxNA97gR3tAKGTu7020/view?usp=share_link,,,,,,,Beauly,FD04,MA0021,22bef256-f342-4739-ba93-c3ec16d3b153,,,,-4.463218236,57.47698163
22,Remove Pink salmon from the river,The interaction between non-native Pink Salmon and native Atlantic Salmon is little known. Pink salmon were first recorded on the R. Beauly in 2021.,Invasive Non-native Species,,Planned,Medium,Work to improve reporting and remove Pink salmon (under licence) if spotted in the Beauly.,O,Encourage reporting using SFCC app. Electro-fish or net them out where possible with help from local anglers and ghillies,4,Pink Salmon in Scotland - Fisheries Management Scotland (fms.scot),,Beauly Fishery Board,"FMS, ghillies and anglers",0,300,No,300,Funding Secured,Annual,Staff capacity,251727,843402,https://drive.google.com/file/d/1IhQKmE9MPpbaFhULW-lDZv-Tu3AqY5IT/view?usp=share_link,,,,,,,Beauly,FD04,MA0022,43f05b4f-668c-4608-8704-8c854ce98c12,,,,-4.473073211,57.45668641
23,Improve biosecurity,We need to be vigilant of fish diseases and invasives we can’t see (e.g Gyrodactylus salaris),Invasive Non-native Species,,Ongoing,Medium,"Maintain disinfection kits at the fishing huts. Encourage proper drying and disinfection of kit by anglers, kayakers and businesses.",O,Work with ghillies and proprietors to raise awareness,5,FINAL-Beauly-Fishery-Board-Biosecurity-Plan-2021-30.pdf (dsfb.org.uk),,Beauly Fishery Board,"Scottish Invasive Species Initiative, Proprietors and ghillies",0,0,Yes,50,Funding Secured,Annual,Angling culture/ ghillie motivation,250439,843283,https://drive.google.com/file/d/1dUD_ouGl4F9XqJMjKEm8wtvoIZzwjPhP/view?usp=share_link,,,,,,,Beauly,FD04,MA0023,574a9859-9cff-4e22-b604-2f7f9f858cb1,,,,-4.494445973,57.45519581
24,Rhododendron control,"Rhododendron can smother out native vegistation, and overshade river banks",Invasive Non-native Species,,Planned,Low,Encourage landowners to control rhododendron adjacent to river-banks through Forestry Grant Scheme etc. e.g. Erchless and Beaufort. Request in Forestry applications that Rhode is controlled.,O,Work with  Landowners,5,,,Beauly Fishery Board,Landowners,,,Yes,,Unfunded,More than 5 Years,Large scale problem,241032,840947,https://drive.google.com/file/d/1UFzWd1JCOn4aG8wnJX6K9xMku2Lnbd_2/view?usp=share_link,,,,,,,Beauly,FD04,MA0024,1e6fcb29-7b68-42c8-8ecc-879a93df3b6d,,,,-4.649535202,57.43103712
25,Improve adult fish passage-SSE,Access to suitable habitat is a key requirement of fish to complete their life-cycle and delays can impact spawning success.,Obstacles to Fish Passage,,Ongoing,High,"Request an extension to the Borland fish lift operation period if water temperatures are sufficient (>5°C) for adult salmon and sea trout migration.  Investigate if night time lifts for sea trout are necessary. Once confirmed with proprietors, work with SSE to get 3 lifts per day at Aigas and Kilmorack written into the Freshet schedule/ CAR licence.",B,Work with SSE and SEPA,1,,,Beauly Fishery Board,SSE and SEPA,0,400,No,0,Unfunded,Within 3 Years,SSE budgeting,249418,844211,https://drive.google.com/file/d/1qRk3Iv1mNNn89x5OQsFW72IfSuOpJS3y/view?usp=share_link,,,,,,,Beauly,FD04,MA0025,3a785005-0af6-44af-bbd0-68e959e07750,,,,-4.512016374,57.46318616
26,Assess eel passage at the dams,"It appears that elvers can make it up through the lifts, but it is unclear how adult eels fare on their migration to sea through the Kaplan turbines.",Obstacles to Fish Passage,,Initiated,Medium,Continue gathering eel data and observations. Assess if there is a problem and consider potential mitigation measures.,B,Work with SSE and SEPA,4,,,Beauly Fishery Board,SSE. SEPA,0,0,No,0,Unfunded,Within 5 Years,Staff capacity,249415,844204,https://drive.google.com/file/d/1DdTSR5EPXmaw3nozwf-u1OGsKRkiMS5-/view?usp=share_link,,,,,,,Beauly,FD04,MA0026,51ddbb1f-2d1d-42a8-ae1c-96d004331cce,,,,-4.512062022,57.46312234
27,Ensure adult fish passage- beavers,"Access to suitable habitat is a key requirement for fish to complete their life-cycle. Beavers are native, however mitigation may be necessary if they come into conflict with sea trout and salmon. We will respond to translocation consultations.",Obstacles to Fish Passage,,Ongoing,Medium,Work with proprietors to deal with debris blockages on tributaries ahead of spawning time in line with Naturescot and SEPA guidance. Provide comments on consultations/ beaver translocation applications.,B,Work with NatureScot and Proprietors,4,Beaver Mitigation Scheme | NatureScot,,Beauly Fishery Board,"NatureScot, proprietors, translocation applicants",0,700,Yes,300,Unfunded,Annual,Staff capacity,249781,841654,https://drive.google.com/file/d/14cKN1NOGb38HYKtbi3vOnmHaSWb1NkxX/view?usp=share_link,,,,,,,Beauly,FD04,MA0027,63f3e0c7-8231-45c8-bc41-e2f8185c0e44,,,,-4.504401398,57.44035955
28,Ensure continued sediment management at SSE infrastructure,Sediment management is required to ensure there is suitable fish habitat further downstream,Instream and Riparian Habitat,,Ongoing,Medium,Continued liaison with SSE is required for sediment management at the spout and intakes,D,Ensure continued sediment management,3,,,Beauly Fishery Board,"SSE, SEPA",0,140,Yes,0,Unfunded,More than 5 Years,SSE motivation,218275,838067,https://drive.google.com/file/d/1vJ4m8qxfd0_lZHhT01IVEocZhGD6d8SI/view?usp=share_link,,,,,,,Beauly,FD04,MA0028,9b1368bd-67f9-4bc5-9a62-c0896efa406f,,,,-5.025896492,57.39667101
29,Investigate the status of E Deanie burn,"East Deanie burn has historically had low-no fry present, this may be due to a lack of attraction flow due to realignment/ large silty alluvial fan.",Other,,Initiated,Low,Electro-fish this burn to see if fry distribution has improved. Assess if hydro-morphology is the root cause for lack of/ few fry (past invertebrate sampling showed invertebrates were good),L,Monitor,1,,,Beauly Fishery Board,"SSE, SEPA",0,200,No,0,Unfunded,Within 5 Years,Staff capacity,232081,839615,https://drive.google.com/file/d/1lLxVJ-xuO0QkSkOObGSBX6oWOUWWCaU_/view?usp=share_link,,,,,,,Beauly,FD04,MA0029,674a24ce-8758-4762-8e9f-06ca3ba0a20f,,,,-4.797521002,57.41586605
30,Investigate if re watering of the Farrar tribuitaries would increase area of fish habitat,"Many tributries of the Farrar are impounded for hydro, would any have the right gradient or habitat if re-watered?",Water Quantity,,Planned,High,Assess if any of the Farrar tributaries would benefit fish significantly from their re-watering and discuss a way forward with SSE if necessary.,S,Assess,3,,,Beauly Fishery Board,SSE and SEPA,,500,No,0,Unfunded,Within 5 Years,Staff capacity,229290,838453,https://drive.google.com/file/d/1Arotgzwor7_EJ7DZQI6_CCTzOdDXYTnH/view?usp=share_link,,,,,,,Beauly,FD04,MA0030,c1f47258-13ff-4f48-8147-ee13dd4ffac8,,,,-4.843118696,57.4044013
31,Ease Allt na h-Innse Creagaich bridge apron fish barrier,Allt na h-Innse Creagaich bridge apron may is passable to fish in some flows but could be improved.,Obstacles to Fish Passage,,Initiated,Medium,Electro-fish u/s of bridge apron to confirm passibility. If a problem is found ask SSE to ease through the installation of baffles or notched lip.,D,Assess the bridge apron and nudge SSE to remediate if necessary,1,,,Beauly Fishery Board,SSE,1000,200,No,0,Unfunded,Within 5 Years,Staff capacity,234493,839722,https://drive.google.com/file/d/1-5W4OaJm7Kay2JYsKaxuJ06cnJDtUV83/view?usp=share_link,,,,,,,Beauly,FD04,MA0031,1173be2f-7394-40fc-aea1-73ebad76efd0,,,,-4.757486231,57.41771074
32,Buy out estuarine netting stations if they become available,"Currently estuarine nets in the Inner Moray firth come under the jurisdiction of the Ness board although salmon caught at these fisheries include a majority of Beauly fish. Although these netting stations are not operated regularly, if a commercial interest were to take them over, hundreds of salmon may be caught.",Other,,Ongoing,High,"Buy out the netting stations in partnership with NBFT, Ness board and other parties.",D,"Work with Ness board, fundraise",4,https://drive.google.com/file/d/1cRW8w-u40PTor9uqsvoef8siqNkJo9U9/view?usp=share_link,,Ness Fishery Board,"Proprietors, ASCT…",64000,32000,No,0,Partially Funded,Within 1 Year,"Fundraising effectiveness, seller terms",268873,849254,https://drive.google.com/file/d/1yIFuwusB4OXviJU3_g4x8IdAd5hF3B8v/view?usp=share_link,,,,,,,Beauly,FD04,MA0032,d5c765fc-fbe9-4b81-a7f4-399021f05a1d,,,,-4.190677767,57.51449412
33,Support 3 mile offshore trawling ban,"Trawling damages the sea bed and key nursery areas of salmon and sea trout prey, e.g. Herring, pollack, sprats etc, also sea trout (especially) may be caught as by-catch. Although trawling does not occur in the Beauly Firth it does occur in the wider Moray Firth (E of Findhorn)",Other,,Ongoing,Medium,Continue supporting the #OurSeas initiative to bring back the 3 mile offshore trawling ban.,I,Ongoing support,2,#OurSeas – The sea belongs to all of us,,Beauly Fishery Board,"OurSeas, SG",0,0,No,0,Unfunded,Within 5 Years,SG engagement,284441,863408,https://drive.google.com/file/d/18AulxwIBx3msX8DcXCK5SlwBJZM-DWv8/view?usp=share_link,,,,,,,Beauly,FD04,MA0033,486b8c18-b905-4777-9e13-cd5ef0071436,,,,-3.93770868,57.64580296
34,Carry out Electrofishing surveys,Electro-fishing tells us about how fish are using the catchment and highlights problems we can investigate and fix.,Multiple,,Ongoing,High,"Continue participating in the National Electro-fishing Programme for Scotland. Also carry out more focused investigative electro-fishing in the catchment (e.g hydro-morphogy pressure in relation to the dams, E Deanie burn, upstream and downstream of key operations, Allt na h-Innse Creagaich barrier). If NEPs does not get funded then continue catchment wide monitoring. Re-visit historic sites as work programme permits.",L,Surveys carried out to answer specific questions,4,,,Beauly Fishery Board,Marine Scotland,12000,0,No,12000,Partially Funded,Annual,Staffing and skilled contractor availability,236078,832846,https://drive.google.com/file/d/15vN8U1W_lKw1ujYTFE4ArgrREnR-UYj6/view?usp=drive_link,,,,,,,Beauly,FD04,MA0034,48c79b70-1737-4ddd-ab8f-5888b059c90e,,,,-4.726541794,57.35658915
