ObjectID,Proposed Management Action,Strategy,Scale,Resources,Data Requirements,Lead Organisation,Potential Partners,Capital Cost,In-Kind Contributions,Maintainance Required,Annual Cost,Funding Available,Completion Date,District,Costing Certainty,Funding Shortfall,Funding_Status_TRUE,Shortfall_Captial,Shortfall_In-Kind,Shortfall_Annual,Conditioned_Total_Costings,Combined_Costings,Choosing the Costing Variable,Filtered_Costings_Data
2101,F,"Encourage the retention of turally occurring LWS. Identify further sites for the installation of LWS. Secure funding through grants and charitable dotions and install a minimum of 30 LWS each year. Monitor the effect of LWS on habitat and fish numbers. Promote re-establishment of tive riparian woodland, which will in the long term provide a source of large wood to the system.",4,"NMPI - priority planting areas for shading, https://www.youtube.com/watch?v=JTfDa8TzxEU",,Dee DSFB,"Scottish Land and Estates, GWCT, Cairngorms tiol Parks Authority",0,0,Yes,0,Unfunded,More than 5 Years,Dee,Estimate,5000000,Unfunded,No,No,No,5000000,0,5000000,5000000
2102,S,"Identify and evaluate sites for channel restoration and create a prioritised restoration strategy. Use partnership approaches to secure funding and deliver channel restoration projects, possibly linked with tural flood magement. Create LWS on side channels of the main channel.",4,,,Dee DSFB,"Scottish Land and Estates, GWCT, Cairngorms tiol Parks Authority",0,0,Yes,0,Unfunded,More than 5 Years,Dee,Estimate,5000000,Unfunded,No,No,No,5000000,0,5000000,5000000
3120,B,Work with partners to find a viable outcome. Provide fish monitoring data,1,,"Electro-fishing monitoring data, barrier assessment classification",Tweed Forum,"Environment Agency, local landowners",4000000,0,Yes,0,Partially Funded,Within 5 Years,Tweed,Little Confidence,5000000,Funded,No,No,No,9000000,4000000,9000000,9000000
3159,Q,"Map areas with potential for increasing riparian woodland regeneration. Encourage reduction in grazing pressure where it is inhibiting regeneration of trees. Build support for riparian tree planting with land managers, by working with Scottish Land & Estates and Wildlife Estates Scotland initiative to provide guidance and hold events. Work with estates, landowners and land managers to access Forestry Grant Schemes (FGS) to deliver large-scale riparian tree planting. Key target areas are the upper tributaries - Nocthy, Ernan, Buchat, Desky, Kindie and Upper Don.",4,"NMPI - priority planting areas for shading, https://www.youtube.com/watch?v=JTfDa8TzxEU, https://www.youtube.com/watch?v=wW_h4VqXjJE&t=1s, https://www.youtube.com/watch?v=az6o69aiP2g",Priority areas for tree planting (ScotGov NMPI),Don DSFB,"Scottish Land and Estates, GWCT, Cairngorms National Parks Authority",0,4250,Yes,0,,Annual,Don,Estimate,5000000,Unfunded,No,No,No,5004250,4250,5004250,5004250
3160,F,"Encourage the retention of naturally occurring LWS. Identify further sites for the installation of LWS. Secure funding through grants and charitable donations and install LWS each year. Monitor the effect of LWS on habitat and fish numbers. Promote re-establishment of native riparian woodland, which will in the long term provide a source of large wood to the system.",4,"NMPI - priority planting areas for shading, https://www.youtube.com/watch?v=JTfDa8TzxEU",,Don DSFB,"Scottish Land and Estates, GWCT, Cairngorms National Parks Authority",0,4250,Yes,0,,Annual,Don,Estimate,5000000,Unfunded,No,No,No,5004250,4250,5004250,5004250
3161,S,"Identify and evaluate sites for channel restoration and create a prioritised restoration strategy. Use partnership approaches to secure funding and deliver channel restoration projects, possibly linked with natural flood management. Create LWS on side channels of the main channel.",4,,,Don DSFB,"Scottish Land and Estates, GWCT, Cairngorms National Parks Authority",0,4250,Yes,0,,Annual,Don,Estimate,5000000,Unfunded,No,No,No,5004250,4250,5004250,5004250
2249,Q,Conduct an audit of the catchment to identify areas that would benefit from riparian habitat.  Liaise with landowners and farmers to gain agreement. Liaise with Scottish Forestry to agree plans to gain funding. Input to all forest management plans throughout the catchment to ensure suitable riparian habitat is included in those plans. Deliver planned habitat schemes.,5,,,Nith Catchment Fishery Trust/Nith District Salmon Fishery Board,"Landowners, Farmers, NatureScot, Scottish Environment Protection Agency, Forest and Land Scotland, D&G Council, East Ayrshire Council, Community groups.",3000000,50000,Yes,50000,Unfunded,More than 5 Years,Nith,Estimate,3000000,Unfunded,Yes,No,No,,3100000,3100000,3100000
7761,O,Control INNS along river banks and empower communities to continue to treat INNS,5,"Examples are
https://forthriverstrust.org/project/invasive-non-native-species-control/
https://forthriverstrust.org/project/forth-rivers-training-project/
https://www.callanderslandscape.org/event/non-native-invasive-species/
https://www.lochlomond-trossachs.org/park-authority/what-we-do/conservation/invasive-non-native-species/
https://www.callanderslandscape.org/event/rhoddy-bashing-day4/
http://forthconsulting.co.uk/our-services/inns/
https://www.sepa.org.uk/media/75128/doc-8-river-forth-fisheries-trust-update.pdf

To report INNS in our district: https://survey123.arcgis.com/share/7ebe841943544263aebb31e41f1f7032",Historic and current INNS sighting and treatment data,Forth Rivers Trust,"Loch Lomond & The Trossachs National Park
NatureScot
Local authorities
Local communities
Angling clubs
Land owners with INNS on their land
SEPA
Volunteers
Members of the public",2000000,20000,Yes,40000,Unfunded,More than 5 Years,Forth,Estimate,2290000,Unfunded,No,No,No,4350000,2060000,4350000,4350000
7777,S,Assess water management and water levels required to balance the system,4,https://storymaps.arcgis.com/stories/dc03bc7442ac4768b3e0b7b9bdafedf3#ref-n-yVzdYe,Upstream and downstream water quality measurements,Scottish Water,"SEPA
Forth District Salmon Fishery Board
Forth Rivers Trust",2000000,60000,Yes,50000,Unfunded,Within 3 Years,Forth,Estimate,2110000,Unfunded,No,No,No,4220000,2110000,4220000,4220000
7778,M,Delivery of catchment management within the Devon catchment,4,,Upstream and downstream water quality measurements,Forth Rivers Trust,"Scottish Water
SEPA
Landowners",2000000,60000,Yes,50000,Unfunded,Within 5 Years,Forth,Estimate,2110000,Unfunded,No,No,No,4220000,2110000,4220000,4220000
7771,E,Enforce general binding rules,5,,Land use maps,SEPA,"Forth District Salmon Fishery Board
Forth Rivers Trust",2000000,10000,Yes,25000,Unfunded,Annual,Forth,Estimate,2045000,Unfunded,No,No,No,4080000,2035000,4080000,4080000
3103,M,"Identify areas where peatland has been drained / degraded. If peatland restoration is not already being considered, engage with landowners and agencies / seek funding to establish resotration work.",4,Peatland ACTION Project | NatureScot,Distribution of degraded peatlands and juvenile fish populaion data from the vicinity.,TRT,"SEPA, NatureScot, SSE, LLTNPA, Cairngorms NPA, SLE, landowners",2000000,2500,Yes,1000,Unfunded,Within 5 Years,Tay,Estimate,2000000,Unfunded,Yes,No,No,,2003500,2003500,2003500
7429,M,Peatland drain blocking ,4,,Peat depths and condition,NatureScot,"landowners, Ayrshire Rivers Trust, Clyde Muirshiel Regional Park, North Ayrshire Council, Peatland Action Group",2000000,,Yes,5000,Unfunded,More than 5 Years,Irvine and Garnock,Estimate,2000000,Unfunded,Yes,No,No,,2005000,2005000,2005000
7217,F,Excavate the historic meander channel to direct the flow back into. Stabilise the new river banks using locally sourced willow steaks and brash bundles. Ensure stock proof fencing protects the banks. Provide stock proof fencing to protect buffers and plan,1,,Hydromorphology surveys.  Superficial Geology Maps.,Ayrshire Rivers Trust,"Landowner, SEPA, ACES, RSPB, Local Authority, DSFB",1750000,,Yes,,Unfunded,Within 5 Years,Ayr,Estimate,1750000,Unfunded,Yes,No,No,,1750000,1750000,1750000
7760,L,Develop and find funding to deliver a tracking project to monitor migration routes,2,,,Forth Rivers Trust,"Atlantic Salmon Trust, 
NatureScot, 
Marine Directorate,
Fort District Salmon Fishery Board",1500000,0,Yes,150000,Unfunded,More than 5 Years,Forth,Estimate,1710000,Unfunded,No,No,No,3360000,1650000,3360000,3360000
7787,D,Development and delivery of restoration projects,4,https://storymaps.arcgis.com/stories/3c390e6da9dc41d2bdd7086949f0c03e ,"Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)",Forth Rivers Trust,"Landowner
NatureScot
Loch Lomond & The Trossachs National Park
Forestry
SEPA",1500000,20000,Yes,60000,Partially Funded,Within 5 Years,Forth,Very Confident,1650000,Funded,No,No,No,3230000,1580000,3230000,3230000
7803,B,Improvement of fish passage ,4,https://storymaps.arcgis.com/stories/dc03bc7442ac4768b3e0b7b9bdafedf3#ref-n-yVzdYe,"Structure dimensions
LiDAR data
Level readings
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)",Scottish Water,"SEPA
Forth District Salmon Fishery Board
Forth Rivers Trust",1500000,25000,Yes,20000,Unfunded,Within 5 Years,Forth,Estimate,1620000,Unfunded,No,No,No,3165000,1545000,3165000,3165000
2253,L,"Once suitable technology becomes available for accurately counting fish on river such as the Nith, plans will be developed to install counters throughout the catchment. ",4,,,Nith District Salmon Fishery Board/Nith Catchment Fishery Trust,Industry sponsorship,1500000,40000,Yes,50000,Unfunded,More than 5 Years,Nith,Estimate,1500000,Unfunded,Yes,No,No,,1590000,1590000,1590000
2247,F,"Following a feasibility study and option appraisal, a plan was produced with land owner agreement obtained.  Some riparian habitat work has already been conducted on the Crawick Water and further areas of riparian habitat enhancement have been identified. Licences to conduct bank repair work needs to be gained and funding identified to conduct planned works. Once funding is in place, the works would be conducted in a phased approach and a monitoring programme would be put in place to assess the success of the works.",3,,,Nith Catchment Fishery Trust/Nith District Salmon Fishery Board,"Landowners, Farmers, NatureScot, Scottish Environment Protection Agency, D&G Council, Community groups.",1200000,10000,Yes,15000,Partially Funded,More than 5 Years,Nith,Estimate,1200000,Funded,Yes,No,No,,1225000,1225000,1225000
2882,G,Collect data on water temperature. Develop catchment management plans and riparian planting schemes to improve riparian habitat and channel shading,3,,,AFT,"Riverwoods, local landowners, MSS, FLS",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Estimate,1100000,Unfunded,No,No,No,1100000,0,1100000,1100000
2245,F,"Conduct option appraisal to identify areas for restoration. Design restoration in conjunction with landowners, local stakeholders and local authority.  Apply for appropriate licences and funding to conduct planned works.  Conduct works and carry out monitoring programme to assess the success of the works.",3,,,Nith Catchment Fishery Trust/ Nith District Salmon Fishery Board,"Landowners, Farmers, NatureScot, Scottish Environment Protection Agency, D&G Council, Community groups.",1000000,10000,Yes,15000,Unfunded,More than 5 Years,Nith,Estimate,1000000,Unfunded,Yes,No,No,,1025000,1025000,1025000
2337,S,1) Discuss potential with GFG 2) Attempt to alter freshet/ compenstaion flow regime at Spey Dam,1,https://www.bbc.co.uk/news/uk-scotland-highlands-islands-58462914,,GFG,,1000000,5000,No,0,Unfunded,Within 5 Years,Spey,Estimate,1000000,Unfunded,Yes,No,No,,1005000,1005000,1005000
2871,F,Develop sub-catchment management plans that will engage local landusers and regulators to raise wareness of the issues affecting fish habitat and provide guidance for management actions,2,,Up-to-date data on habitat and fish populations. Hydromorphological survey / riverbed sediment audit.,AFT,"land & Fishery owners, Forestry and Land Scotland, Private firestry companies, Loch Lomond & Trossachs National Park,",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Little Confidence,1000000,Unfunded,No,No,No,1000000,0,1000000,1000000
2872,F,Develop sub-catchment management plans that will engage local landusers and regulators to raise wareness of the issues affecting fish habitat and provide guidance for management actions,2,,Up-to-date data on habitat and fish populations. Hydromorphological survey / riverbed sediment audit.,AFT,"land & Fishery owners, Forestry and Land Scotland, Private firestry companies, Loch Lomond & Trossachs National Park,",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Little Confidence,1000000,Unfunded,No,No,No,1000000,0,1000000,1000000
3097,P,"Collaborate with Forth-Tay RAG, FMS and Marine Scotland in seeking the establishement of monitoring projects.",2,Forth & Tay Regional Advisory Group (FTRAG) | Marine Scotland Information,,Marine Scotland?,"FMS, Marine Scotland, Wind farm developers, Atlantic Salmon Trust",1000000,5000,Yes,5000,Unfunded,Within 5 Years,Tay,Estimate,1000000,Unfunded,Yes,No,No,,1010000,1010000,1010000
3101,H,"Lobby SEPA and Scottish Government to continue to increase measures to tackle diffuse pollution. If found necessary, seek funding and develop farm level projects to reduce diffuse pollution in addition to SEPA's diffuse pollution priority catchments.",4,Diffuse Pollution in the Rural Environment | Scottish Environment Protection Agency (SEPA),"Sources of sediment / runoff, distribution of sediment in watercourses and juvenile fish population data",SEPA/TRT,"SEPA, NFUS",1000000,5000,Yes,5000,Unfunded,Annual,Tay,Estimate,1000000,Unfunded,Yes,No,No,,1010000,1010000,1010000
3102,Q,"Deploy a network of temperature loggers to establish which tributaries and which parts of those tributaries are most at risk of excessive heating. Create and enact a prioritised planting plan based on this. Collaborate with other initiatives, such as Riverwoods, which are seeking to deliver similar outcomes.",4,Scotland River Temperature Monitoring Network (SRTMN) - gov.scot (www.gov.scot),Water temperature data from a range of at risk tributaries.,TRT,"Marine Scotland, Riverwoods partners, SEPA, NatureScot, LLTNPA, Cairngorms NPA, SSE, SF",1000000,20000,Yes,20000,Unfunded,Within 5 Years,Tay,Estimate,1000000,Unfunded,Yes,No,No,,1040000,1040000,1040000
7211,Q,"Provide stock proof fencing to protect buffers, manage grazing and plant them with locally sourced broadleaf trees. Removal of plastic tree guards to be recycled once trees have reached sufficient size.",3,,,Ayrshire Rivers Trust,"Landowner, DSFB, SRUC consultancy and Farm Advisory Service",932000,,No,,Unfunded,More than 5 Years,Ayr,Little Confidence,932000,Unfunded,Yes,No,No,,932000,932000,932000
2490,B,SEPA to enforce the removal of the impoundent or installation of fish passage facilities on the landowner. Source funding required to remove the structure.,1,https://www.sepa.org.uk/media/413199/wef_annual_report_2017_2018.pdf,,SEPA,"KoSDSFB, landowners",900000,0,,0,Unfunded,Within 5 Years,Kyle of Sutherland,Little Confidence,900000,Unfunded,Yes,No,No,,900000,900000,900000
2891,G,"SRTMN, local Deer management Group data, tree planting survey",3,,,AFT,"Riverwoods, local landowners, MSS, FLS",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Estimate,900000,Unfunded,No,No,No,900000,0,900000,900000
7206,S,"Work collaboratively with the coal authority, SEPA and land owners to realign watercourses away from upwelling groundwater and install reed bed treatment areas.",1,,Geotechnical assessments and detailed designs needed for realigning the river. ,Ayrshire Rivers Trust,"Landowner, SEPA, DSFB, Local Authority, Coal Authority",800000,,,4000,Unfunded,,Ayr,Estimate,804000,Unfunded,No,No,No,1608000,804000,1608000,1608000
2246,F,"Following a feasibility study and option appraisal, a plan was produced with land owner agreement obtained.  Licence to conduct the work need to be granted and funding identified to conduct planned works. Once funding is in place, the works would be conducted in a phased approach and a monitoring programme would be put in place to assess the success of the works.",3,,,Nith Catchment Fishery Trust/Nith District Salmon Fishery Board,"Landowners, Farmers, Scottish Power Energy Networks,  NatureScot, Scottish Environment Protection Agency, D&G Council, Community groups, Ellisland Trust.",800000,10000,Yes,15000,Partially Funded,Within 5 Years,Nith,Estimate,800000,Funded,Yes,No,No,,825000,825000,825000
2884,G,Collect data on water temperature. Develop catchment management plans and riparian planting schemes to improve riparian habitat and channel shading,3,,,AFT,"Riverwoods, local landowners, MSS, FLS",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Estimate,800000,Unfunded,No,No,No,800000,0,800000,800000
2886,G,"SRTMN, local Deer management Group data, tree planting survey",3,,,AFT,"Riverwoods, local landowners, MSS, FLS",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Estimate,800000,Unfunded,No,No,No,800000,0,800000,800000
3072,D,,1,,,Local Estate,OHFT,0,0,Yes,0,Unfunded,N/A,Western Isles,Little Confidence,750000,Unfunded,No,No,No,750000,0,750000,750000
2883,G,Collect data on water temperature. Develop catchment management plans and riparian planting schemes to improve riparian habitat and channel shading,3,,,AFT,"Riverwoods, local landowners, MSS, FLS",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Estimate,700000,Unfunded,No,No,No,700000,0,700000,700000
2881,G,Collect data on water temperature. Develop catchment management plans and riparian planting schemes to improve riparian habitat and channel shading,3,,,AFT,"Riverwoods, local landowners, MSS, FLS",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Estimate,600000,Unfunded,No,No,No,600000,0,600000,600000
2889,G,"SRTMN, local Deer management Group data, tree planting survey",3,,,AFT,"Riverwoods, local landowners, MSS, FLS",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Estimate,600000,Unfunded,No,No,No,600000,0,600000,600000
7804,B,Improvement of fish passage ,5,https://storymaps.arcgis.com/stories/dc03bc7442ac4768b3e0b7b9bdafedf3#ref-n-LpshkX,"Structure dimensions
LiDAR data
Level readings
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)",Forth Rivers Trust,"SEPA
Forth District Salmon Fishery Board
Landowners",500000,10000,No,0,Unfunded,More than 5 Years,Forth,Estimate,600000,Unfunded,No,No,No,1110000,510000,1110000,1110000
3246,Q,Secure landowner agreement to riparian plant.  Secure funding to allow riparian planting to continue,4,Google map of area showing requirement,Catchment wide tree survey data,Loch Lomond Fisheries Trust,Landowners / Loch Lomond Angling Improvement Association / Local community councils / Local outdoor groups /,550000,0,Yes,4500,Partially Funded,More than 5 Years,Loch Lomond,Fairly Confident,550000,Funded,Yes,No,No,,554500,554500,554500
7176,H,"Secure SEPA/Gov involved with Tarbolton Landfill restoration programme. Fencing on the following burns to allow managed grazing: Yonderton Burn, Regcraig Burn, Parkmill Burn, Bloody Burn, Auchinweet Burn, Townend Burn",3,,,Scottish Government,"Landowners, DSFB, Local authoirty, SEPA, Farming Advisory Service, SRUC Consulting and Ayrshire Rivers Trust",500000,,Yes,5000,Unfunded,N/A,Ayr,Estimate,505000,Unfunded,No,No,No,1010000,505000,1010000,1010000
7709,Q,Work with landowners to protect riparian buffers and allow further planting of buffers with locally sourced broadleaf trees.,3,,,DSFB,"Landowners, Ayrshire Rivers Trust, SRUC, Forestry Land Scotland, NatureScot",500000,0,No,5000,Unfunded,More than 5 Years,Stinchar,Estimate,505000,Unfunded,No,No,No,1010000,505000,1010000,1010000
2248,F,Conduct option appraisal to identify areas for restoration. Produce a portfolio of restoration projects that can be delivered as and when funds become available.,5,,,Nith Catchment Fishery Trust/Nith District Salmon Fishery Board,"Landowners, Farmers, NatureScot, Scottish Environment Protection Agency, Forest and Land Scotland, D&G Council, East Ayrshire council, Community groups, renewable energy companies",250000,10000,No,50000,Unfunded,More than 5 Years,Nith,Fairly Confident,500000,Unfunded,No,No,No,810000,310000,810000,810000
2892,G,"SRTMN, local Deer management Group data,  tree planting survey",3,,,AFT,"Riverwoods, local landowners, MSS, FLS",0,0,Yes,0,Unfunded,More than 5 Years,Argyll,Estimate,500000,Unfunded,No,No,No,500000,0,500000,500000
2925,G,Work with SEPA and landowners to identify the areas most at risk of diffuse pollution and ensure the maintenance and / or reinstatement of the buffer strips and other measures. Work with farmers to identify marginal land that could be removed from production and turned into enhanced 3D buffer strips.,4,https://www.legislation.gov.uk/ssi/2011/209/contents/made,Conduct foot and desk based survey to identify areas where riparian zone is missing or needs improved. Contact farmers to discuss potential for increasing buffer strips in areas identified. Discuss with SEPA to identify priority areas and potential levers for encouraging increased adoption of enhanced buffer strips. Work with JHI to create a tool box of measures that can be deployed to enhance and increase effectivness of buffer strips.,DBIRT,"Deveron DSFB, SEPA, AST, Chivas Brothers Ltd & JHI",0,0,No,0,Partially Funded,Within 5 Years,Deveron,Estimate,500000,Funded,No,No,No,500000,0,500000,500000
7668,F,"Reconnect the river with its original floodplain, excavate the historic meander channel to direct the flow back into. Stabilise the new river banks using locally sourced willow steaks and brash bundles. Ensure stock proof fencing protects the banks. Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees.",3,,Hydro-morphology surveys. ,Ayrshire Rivers Trust,"Landowner, SEPA, DSFB, Local authority, environmental engineering specialist",500000,0,Yes,,Unfunded,More than 5 Years,Doon,Estimate,500000,Unfunded,Yes,No,No,,500000,500000,500000
7688,F,Increase capacity at reed bed water treatement facility.,1,,,Ayrshire Rivers Trust,"Landowners, DSFB, SEPA",500000,0,Yes,,Unfunded,More than 5 Years,Girvan,Little Confidence,500000,Unfunded,Yes,No,No,,500000,500000,500000
7793,D,Development and delivery of a project,1,,"Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)",Forth Rivers Trust,"Landowner
NatureScot
SEPA
Local Authority",400000,20000,Yes,20000,Partially Funded,Within 4 Years,Forth,Estimate,500000,Funded,No,No,No,940000,440000,940000,940000
