"","ObjectID","Proposed.Management.Action","Strategy","Scale","Resources","Data.Requirements","Lead.Organisation","Potential.Partners","Capital.Cost","In.Kind.Contributions","Maintainance.Required","Annual.Cost","Funding.Available","Completion.Date","District","Costing.Certainty","Funding.Shortfall","Funding_Status_TRUE","Shortfall_Captial","Shortfall_In.Kind","Shortfall_Annual","Conditioned_Total_Costings","Combined_Costings","Choosing.the.Costing.Variable","Filtered_Costings_Data"
"137",2155,"M","The role of the GFT/BDSFB is too work with landowners to prioritise peatland restoration sites.  GFT will also collect suitable data to identify where else peatland restoration would improve water quality.  Using this information, encourage forestry interests to include peatland restoration in the relevant forestry plans and to undertake peatland restoration at a meaningful scale.  Key areas identified already by GFT worthy of ivestigation are the afforested Mark of Luce Moss and Moss of the Horse Hill.","1","https://www.nathonjones.com/files/2020%20GFT%E2%80%99s%20annual%20water%20quality%20monitoring%20report%20on%20behalf%20of%20Peatland%20Action%20JR.pdf","Once areas have been prioritised then further peat depth surveys may need undertaken.","GFT","BDSFB, forestry owners, NatureScot",0,0,"No",2000,"Partially Funded","More than 5 Years","Bladnoch","Very Confident",5000,"Funded","No","No","No",7000,2000,7000,7000
"138",2156,"O","The GFT 'Scottish Solway INNS Control and Knowledge Programme' includes controlling Japanese knotweed and Skunk cabbage in the Bladnoch catchment.  A project officer provides assistance to develop and deliver coordinated and effective INNS control programmes.  The project officer will assist in the initial control and creating a management plan which stake holders, such as landowners, will take ownership of in the longer term.  Control of the INNS will use Glyphosate solution (Roundup) via spraying or stem injection. Work started in 2022.","1","https://gallowayfisheriestrust.org/invasive-non-native-plant-species-control.php","Annual surveys are required to quantify levels of INNS each season to update control plan","GFT","Landowners",0,1000,"Yes",5000,"Partially Funded","Annual","Bladnoch","Very Confident",15000,"Funded","No","No","No",21000,6000,21000,21000
"139",2169,"F","Fix large logs / place boulders into place to fill where banking has eroded away.  Back fill as necessary with rock and soil.  Banking has badly breached at 3 locations.","1","It is detailed in the Bladnoch Salmon Priority Burn Survey 2021","A Method Statement for work needs to be written","GFT","SEPA, NatureScot, BDSFB",2000,0,"No",0,"Funding Secured","Within 2 Years","Bladnoch","Very Confident",0,"Funded","No","No","No",2000,2000,2000,2000
"140",2086,"H","Response informed by current science and best magement practice. Taking advice from MSS and ture Scot. The Board will continue to provide guidance through the planning system and liaise with developers to minimise disturbance to fish and damage to their habitat. We insist that works are done out with spawning/emergence time. Press for and advise on tiol fish-friendly guidance to strengthen the current regulatory requirements and assist in local issues. The Board will highlight where licensed works have caused an impact in the past to insist on a stronger regulatory approach in future. This will be done working with FMS and SEPA. Press planners for monitoring before and after activities cease to understand impacts, risks and difficulties better, to learn lessons and inform regulators. Promote green engineering options for bank protection, modification and repair works to developers, owners and regulators.","5","Electrofishing data, Redd counting, FWPM surveys,Temperature data (SRTMN), Smolt tracking reports, Habitat surveys, Invertebrate surveys, INNS surveys","","Dee DSFB","RDT, ture Scot, SEPA, FMS, MSS, Developers, Local Authorities",0,4000,"No",0,"Unfunded","Annual","Dee","Very Confident",0,"Unfunded","No","No","No",NA,4000,4000,4000
"141",2087,"N","Distribute best practice guidance through multiple media platforms, promote instances of best practice across the District by showcasing good examples. Catch and release will continue to be required, and any non-compliance monitored. Produce advisory communications to explain impacts of fish handling and fish stress. Emphasize messages during exceptiolly hot or dry periods when disease risk is much higher.","5","Fish handling page on website, FMS outputs","","Dee DSFB","FMS,",1000,2000,"No",0,"Unfunded","Annual","Dee","Very Confident",0,"Unfunded","No","No","No",NA,3000,3000,3000
"142",2088,"E","Continue to build intelligence to guide timings and locations of patrols. Detection of netting gangs will be worked on a local and tiol basis. Develop a phone app reporting system and continue to share tiolly to help coordite policing. Further develop the use of cameras and recording devices to help collect evidence of illegal activity, and support proprietors to implement such securities. Continue to work with Police Scotland and The Crown Office and Procurator Fiscal Service to highlight the damage caused by poaching and how the Salmon Act (2003) is best applied. The Dee and Don Fisheries Officers will work in partnership to provide enhanced coverage and flexibility across both rivers and to deal with larger poaching groups. Target social media and press communications with anglers and the general public to encourage reporting of information. We will promote what to look out for, how reports can be made to us, and reassurance of how we use this information. Highlight through social media and the press, the damage caused by illegal fishing and the pelties that can result.","5","","","Dee DSFB","Police Scotland, FMS, other Salmon Fishery Boards",1000,55080,"No",80080,"Unfunded","Annual","Dee","Very Confident",25000,"Unfunded","No","No","No",161160,136160,161160,161160
"143",2176,"M","The role of the GFT/FDSFB will be to collect suitable data to allow the prioritising of areas where peatland restoration would improve water quality.  Using this information, encourage FLS to include peatland restoration in the relevant forestry plans and to undertake peatland restoration.","1","https://www.nathonjones.com/files/GFT%20%20PA%20Fleet%20Catchment%20Water%20Quality%20Monitoring%20Report%202021%20%202022.pdf","Once areas have been prioritised then further peat depth surveys may need undertaken.","GFT","FDSFB",0,0,"No",1000,"Partially Funded","Within 4 Years","Fleet (Kircudbright)","Very Confident",5000,"Funded","No","No","No",6000,1000,6000,6000
"145",2177,"M","The role of the GFT/FDSFB will be to collect suitable data to allow the prioritising of areas where peatland restoration would improve water quality.  Using this information, encourage FLS to include peatland restoration in the relevant forestry plans and to undertake peatland restoration.","1","https://www.nathonjones.com/files/GFT%20%20PA%20Fleet%20Catchment%20Water%20Quality%20Monitoring%20Report%202021%20%202022.pdf","Once areas have been prioritised then further peat depth surveys may need undertaken.","GFT","FDSFB",0,0,"No",1000,"Partially Funded","Within 4 Years","Fleet (Kircudbright)","Very Confident",5000,"Funded","No","No","No",6000,1000,6000,6000
"148",2192,"O","The GFT 'Scottish Solway INNS Control and Knowledge Programme' includes controlling Japanese knotweed in the Luce catchment.  A project officer provides assistance to develop and deliver coordinated and effective INNS control programmes.  The project officer will assist in the initial control to get it to managable levels and creating a management plan which key stake holders will take ownership of in the longer term.  Control of the INNS will use Glyphosate solution (Roundup) via spraying or stem injection. Survey work started in 2022 with control commensing in 2023.","1","https://gallowayfisheriestrust.org/invasive-non-native-plant-species-control.php","Annual surveys are required to quantify levels of INNS each season to update control plan","GFT","Luce DSFB, landowners",0,0,"Yes",6000,"Funding Secured","Annual","Luce","Very Confident",24000,"Funded","No","No","No",30000,6000,30000,30000
"149",2201,"F","To get the necessary permissions for the work there will be a 2 stage process.  Stage 1 (costs for this are included) is to scope out the work, investigate the feasibility and cost to return the river to its natural course.  Stage 1 will involve GFT, Crichton Carbon Centre and a contractor.  Stage 2 will be the actual restoration work and cannot be costed out at this point.","1","","Various surveys required by GFT, contractor, CCC","GFT","SEPA, Luce DSFB, Lagafater Estate",32000,0,"Yes",0,"Unfunded","Within 3 Years","Luce","Very Confident",0,"Unfunded","No","No","No",NA,32000,32000,32000
"157",2252,"J","To gain data from anglers regarding seal sighting using the FMS web app and other methods of reporting. Monitor any fish carcases reported for seal damage. Monitor predation levels in the lower river. Implement non-lethal scare tactics on any seals identified as rogues. Apply for a licence to enable direct action to be taken as a last resort.","1","","","Nith District Salmon Fishery Board","Fisheries Management Scotland, Sea Mammal Research Unit. ",0,5000,"No",5000,"Funding Secured","Annual","Nith","Very Confident",0,"Funded","No","No","No",10000,10000,10000,10000
"158",2266,"R","To capture limited numbers of adult broodstock from areas of the catchment where they are plentiful, take ova and incubate in the Board’s hatcheries. The resulting fry are planted into designated areas of the catchment at appropriate stages of development.  This operation is licenced by the Marine Directorate.","1","","","Nith District Salmon Fishery Board/Nith Catchment Fishery Trust","Marine Directorate",5000,20000,"No",25000,"Funding Secured","Annual","Nith","Very Confident",0,"Funded","No","No","No",50000,50000,50000,50000
"159",2293,"L","1) Locate all areas of recent fishpass construction on the Spey 2) Conduct annual quantitative electrofishing surveys upstream of new fishpasses 3) Compare with historical electrofishing records","1","","","SFB","",0,2000,"Yes",0,"Partially Funded","Annual","Spey","Very Confident",0,"Funded","No","No","No",2000,2000,2000,2000
"160",2139,"L","Continue existing e/f programme","5","","","CDSFB","NatureScot on SACs, Windfarm operators re. construction phase and post-construction monitoring",3000,0,"Yes",18000,"Funding Secured","More than 5 Years","Caithness","Very Confident",0,"Funded","No","No","No",21000,21000,21000,21000
"166",2295,"P","1) Conduct a study into the movement of acoustically tagged smolts through Loch insh in 2023 and 2024 2) Retrieve the data and compare with the AST's results for Loch Insh in 2022 3) Determine if a trap and transport operation is required at Loch Insh","1","https://www.sciencedirect.com/science/article/abs/pii/S092585742100015X","Flow and depth survey of Loch Insh","SFB","",40000,15000,"No",0,"Unfunded","Within 1 Year","Spey","Very Confident",20000,"Unfunded","No","No","No",75000,55000,75000,75000
"175",2310,"P","1) Investigate if Perch are present in Loch Insh 2) Determine if a large scale eradication programme is required at Loch Insh 3) Locate any other areas where Perch have become established in the catchment","1","","","SFB","CNPA",1500,1000,"No",0,"Funding Secured","Within 1 Year","Spey","Very Confident",0,"Funded","No","No","No",2500,2500,2500,2500
"176",2316,"N","N/A","1","https://www.speyfisheryboard.com/spey-pupils-catch-salmon/","","SFB","",200,1500,"Yes",500,"Unfunded","Annual","Spey","Very Confident",1700,"Unfunded","No","No","No",3900,2200,3900,3900
"177",2331,"F","1) Survey the area in 2025 2) Produce a report comparing the restoration area with the control area outside of site","1","https://www.researchgate.net/profile/Barry-Taylor-5/publication/229867967_Effects_of_artificial_woody_structures_on_Atlantic_Salmon_habitat_and_populations_in_a_Nova_Scotia_stream/links/5c61d84992851c48a9cd3ecb/Effects-of-artificial-woody-structures-on-Atlantic-Salmon-habitat-and-populations-in-a-Nova-Scotia-stream.pdf","","RSPB","",800,300,"No",0,"Funding Secured","Within 3 Years","Spey","Very Confident",0,"Funded","No","No","No",1100,1100,1100,1100
"179",2348,"L","Maintain the Fish Counter to ensure fish stock data collection and analysis.","1","","","Ugie DSFB","Lunar Freezing and Cold Storage Co.Ltd.",0,5000,"Yes",2000,"Unfunded","Annual","Ugie","Very Confident",0,"Unfunded","No","No","No",NA,7000,7000,7000
"180",2159,"I","Bladnoch DSFB/GFT to campaign publicly their opposition to replanting conifers on deep peat and why - especially to key government agencies, MSPs, Councillors and forestry sector.","4","","None","Bladnoch DSFB","GFT, Crichton Carbon Centre",0,0,"No",1000,"Funding Secured","Annual","Bladnoch","Very Confident",0,"Funded","No","No","No",1000,1000,1000,1000
"182",2351,"F","Carry on mowing and weedcutting from May to September. Clear overgrown burns.","1","","Identify Burns that require clearing.","Lunar Freezing Co.Ltd.","Ugie Angling Association.",0,0,"Yes",1000,"Unfunded","Annual","Ugie","Very Confident",7200,"Unfunded","No","No","No",8200,1000,8200,8200
"184",2488,"L","Liase with ghillies on the River Carron to 'donate' fish caught in spring to be radio tagged for the project. Consider trapping and tagging fish above falls to track the habitats utilised by the fish.","1","https://kylefisheries.org/wp-content/uploads/2023/03/2022-Tagging-Report.docx","","KoSDSFB","River workers, SSE, Mossy Earth, Estates",25000,0,"No",5000,"Funding Secured","Within 5 Years","Kyle of Sutherland","Very Confident",0,"Funded","No","No","No",30000,30000,30000,30000
"190",2491,"L","Create an assessment, similar to the one conducted above Glen Beag impoundement, of the habitat above Duchally Dam. Annual assessment of the juvenile distribution through electrofishing above the dam.","1","","","KoSDSFB","SSE",0,0,"",5000,"Funding Secured","Annual","Kyle of Sutherland","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"197",2501,"L","Conduct annual electrofishing surveys above the barrier.","1","https://kylefisheries.org/wp-content/uploads/2023/03/Fish_Survey_of_Loch_Ospisdale__Allt_Garbh_20091.pdf","","KoSDSFB","",0,0,"No",1000,"Funding Secured","Annual","Kyle of Sutherland","Very Confident",0,"Funded","No","No","No",1000,1000,1000,1000
"198",2855,"B","Secure councilfunding to re-engineer pipework","1","Photographs of apron","","Argyll and Bute Council","Loch Lomond Angling Improvement Association / Loch lomond Fisheries Trust / Landowner",0,0,"No",0,"Unfunded","Within 1 Year","Loch Lomond","Very Confident",10000,"Unfunded","No","No","No",10000,0,10000,10000
"199",2178,"O","The GFT 'Scottish Solway INNS Control and Knowledge Programme' includes controlling Japanese knotweed on the main River Fleet and Skunk cabbage at 2 locations in the Fleet catchment.  A project officer provides assistance to develop and deliver coordinated and effective INNS control programmes.  The project officer will assist in the initial control and creating a management plan for the Fleet which stake holders, such as landowners and volunteers, will take ownership of to keep Japanese knotweed and Skunk cabbage under control in the longer term.  Control of the INNS will use Glyphosate solution (Roundup) via spraying or stem injection.  The situation with mink and Canadian pondweed will need assessed and consideration whether to start control programmes.","4","https://gallowayfisheriestrust.org/invasive-non-native-plant-species-control.php","Annual surveys are required to quantify levels of the 2 plant INNS each season to update control plan","GFT","Landowners, Gatehouse of Fleet volunteer group",0,1000,"Yes",5000,"Funding Secured","Annual","Fleet (Kircudbright)","Very Confident",20000,"Funded","No","No","No",26000,6000,26000,26000
"202",2181,"I","FDSFB/GFT to campaign publicly their opposition to replanting conifers on deep peat and why - especially to key government agencies, MSPs, Councillors and forestry sector.","4","","None","FDSFB","GFT, Crichton Carbon Centre",0,0,"No",1000,"Funding Secured","Annual","Fleet (Kircudbright)","Very Confident",0,"Funded","No","No","No",1000,1000,1000,1000
"203",2182,"L","Undertake annual programme of electrofishing surveys (including NEPS).  Timed and quantative electrofishing surveys are appropriate.  When opportunities arise monitor wider fish health such as disease testing or adult sampling.","5","","None","GFT","FDSFB",0,0,"No",3150,"Funding Secured","Annual","Fleet (Kircudbright)","Very Confident",0,"Funded","No","No","No",3150,3150,3150,3150
"204",2856,"B","Secure councilfunding to re-engineer pipework","1","Photographs of apron","","Argyll and Bute Council","Loch Lomond Angling Improvement Association / Loch lomond Fisheries Trust / Landowner",0,0,"No",0,"Unfunded","Within 1 Year","Loch Lomond","Very Confident",10000,"Unfunded","No","No","No",10000,0,10000,10000
"205",2184,"H","Waiting to be informed of plan reviews means sometimes the opportunity is missed.  Proactively approach forestry interests to get timing of plan reviews in sensitive parts of the catchment and/or check public forestry register fortnightly and if required submit written responses backed up with water quality / fish data.","4","https://casebook.forestry.scot/w/webpage/prhome","None","GFT","FDSFB",0,0,"No",1050,"Funding Secured","Annual","Fleet (Kircudbright)","Very Confident",0,"Funded","No","No","No",1050,1050,1050,1050
"208",3045,"B","Monitor success of smolt passage improvements via observations, hydroacoustic cameras, adult returns and juvenile surveys. Ensure adaptive water management plan in place to maximise smolt survival through turbines.","1","","","NDFSB","SEPA, SSE.",0,0,"Yes",10000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",10000,10000,10000,10000
"213",3068,"L ","GFT to undertake regular visual inspections of fish ladder during May / June annually to check for distressed / fungus fish.  Monitor water temperatures using loggers in March - June annually at various locations in the lower river / fish ladder etc to understand risks of thermal stresses. Aim is to identify years when the risk is high so that mitigation can be put into place.     ","1","","Ongoing data collection using temperature loggers","GFT","DRAX",0,0,"",2000,"Funding Secured","Within 3 Years","Dee (Kircudbright)","Very Confident",0,"Funded","No","No","No",2000,2000,2000,2000
"217",3078,"J","To test methods of seal scaring, including acoustic deterrent devices (ADDs). If these fail, to apply for a licence for lethal control from Marine Scotland.","1","","Regular recording of seal presence","TDSFB","FMS, SMRU",20000,5000,"Yes",5000,"Funding Secured","Annual","Tay","Very Confident",0,"Funded","No","No","No",30000,30000,30000,30000
"222",3117,"Q","Use temperature maps produced by Marine Scotland Science to guide tree planting. Work with partners in the Tweed catchment to plant trees in the right places. Initiate fund raising for tree planting","1","","SRTMN maps","Tweed Foundation","Marine Scotland Science, Tweed Forum, local landowner",0,5000,"Yes",0,"Partially Funded","More than 5 Years","Tweed","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"251",2230,"L","Identify any rivers facing critically low spawning stocks and respond if necessary.","4","Funding and resources","Historic fish survey data","","Lochaber Fisheries Trust, Lochaber District Salmon Fishery Board",0,0,"",0,"Unfunded","N/A","Lochaber","Very Confident",0,"Unfunded","No","No","No",NA,0,0,NA
"260",2239,"A","Continue to run and improve the Fishing for the Future programme to get young people into fishing and aquatic conservation. Run Nith Young Anglers Club to support and develop skills of Young Anglers. Provide angling experiences on the River Nith to introduce anglers to different parts of the river. Host the Opening Ceremony at the commencement of the salmon fishing season. ","5","","","Nith Catchment Fishery Trust/Nith District Salmon Fishery Board","Angling associations and beats, FishPal, Fisheries Management Scotland.",30000,20000,"Yes",50000,"Partially Funded","Annual","Nith","Very Confident",0,"Funded","No","No","No",1e+05,1e+05,1e+05,1e+05
"264",2243,"E","All permanent staff to be qualified to IFM Water Bailiff standard and conduct regular patrols and respond to call outs. ","5","Enforcement Training - Fisheries Management Scotland (fms.scot), in-house training","","Nith District Salmon Fishery Board/Nith Catchment Fishery Trust","Police Scotland, D&G Rural Crime Partnership, Fisheries Management Scotland, Marine Directorate of Scottish Government. ",0,80000,"No",60000,"Funding Secured","Annual","Nith","Very Confident",30000,"Funded","No","No","No",170000,140000,170000,170000
"265",2244,"N","Publish an annual Nith Conservation Plan and make available on the River Nith website. Raise awareness of catch and release techniques with anglers.","5","","","Nith District Salmon Fishery Board/Nith Catchment Fishery Trust","Salmon fishing proprietors, angling clubs",0,5000,"No",5000,"Funding Secured","Annual","Nith","Very Confident",0,"Funded","No","No","No",10000,10000,10000,10000
"271",2250,"D","Responding to planning applications and SEPA licence notifications.  Consulting with construction industry and inputting to construction method statements.  Conducting monitoring of fish and aquatic invertebrate pre and post construction and incorporating fish rescue strategies to protect species of fish known to exist. ","5","","Baseline environmental information to enable comparison with future data.","Nith District Salmon Fishery Board/Nith Catchment Fishery Trust","Construction industry, Landowners, Farmers, NatureScot, Scottish Environment Protection Agency, Forest and Land Scotland, D&G Council, East Ayrshire Council, Community groups.",0,50000,"No",50000,"Funding Secured","Annual","Nith","Very Confident",0,"Funded","No","No","No",1e+05,1e+05,1e+05,1e+05
"272",3142,"L","Continue to monitor through EF programme and invertebrate sampling","1","Smart Rivers Invertebrate Sampling project; NEPS; individual river electrofishing programmes","Smart Rivers Invertebrate Sampling results, local EF programme results, NEPS","NDSFB","Smart Rivers, MSS (NEPS)",5000,5000,"Yes",10000,"Partially Funded","Annual","Northern","Very Confident",550,"Funded","No","No","No",20550,20000,20550,20550
"273",7174,"B","Remove concrete from the top of the waterfall. Provide eDNA sampling(x3) over a period of 5 years to evaluate the success of upward salmon migration","1","","","SEPA","Landowners, Ayrshire Rivers Trust and DSFB",9000,NA,"No",3000,"Funding Secured","Within 2 Years","Ayr","Very Confident",12000,"Funded","No","No","No",24000,12000,24000,24000
"275",2254,"L","To continue to conduct aquatic monitoring with a trained team of staff on an annual basis, analysing the data in accordance with latest scientific methodology and best practice. ","5","","","Nith District Salmon Fishery Board/ Nith Catchment Fishery Trust","Scottish Fisheries Coordination Centre, Fisheries Management Scotland, Marine Directorate, NatureScot",0,1e+05,"Yes",100000,"Funding Secured","Annual","Nith","Very Confident",0,"Funded","No","No","No",2e+05,2e+05,2e+05,2e+05
"276",2255,"L","Placement of smolts traps within the catchment to monitor escapement of smolts. Resulting data to be used to assess salmonid populations. Mark recapture studies to estimate total population. If possible, tagging of smolts to monitor their in-river migration.","5","","","Nith District Salmon Fishery Board/Nith Catchment Fishery Trust","Fisheries Management Scotland, Atlantic Salmon Trust,  Marine Directorate, University of Glasgow, other international partners.",10000,50000,"No",50000,"Partially Funded","Annual","Nith","Very Confident",15000,"Funded","No","No","No",125000,110000,125000,125000
"278",2257,"M","Train members of staff in Peatland restoration techniques. Advise landowners on peatland restoration option and funding opportunities.","5","","","Nith District Salmon Fishery Board/Nith Catchment Fishery Trust","Landowners, Crichton Carbon Centre, FMS, AST",0,10000,"No",10000,"Funding Secured","Annual","Nith","Very Confident",0,"Funded","No","No","No",20000,20000,20000,20000
"281",2260,"O","Monitor watercourses within the Nith catchment through the use of trapping and eDNA to assess the current range of American signal crayfish and to identify any possible new introductions in a timely manner.","4","","","Nith Catchment Fishery Trust/ Nith District Salmon Fishery Board","SEPA, Marine Directorate, NatureScot, Landowners, Anglers, Volunteers",15000,20000,"Yes",15000,"Partially Funded","More than 5 Years","Nith","Very Confident",15000,"Funded","Yes","No","Yes",NA,50000,50000,50000
"282",2261,"O","Staff must be trained to PA6AW standard. Giant hogweed control is conducted along the riverbanks where Giant hogweed is known to be present. All plants are treated using a combination of stem injection and spraying depending on the location of the plants. The length of river known to be infected with Giant hogweed is re-surveyed two or three times between May and July to ensure that all plants are treated prior to flowering and that no flowering plants are allowed to go to seed.","4","","","Nith Catchment Fishery Trust/ Nith District Salmon Fishery Board","SEPA, NatureScot, Landowners, Anglers, Volunteers",1500,20000,"Yes",21500,"Funding Secured","Annual","Nith","Very Confident",0,"Funded","No","No","No",43000,43000,43000,43000
